,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
60,HD 36395,82.66824999999999,-3.6975833333333337,M1.5V,3894,4.64,0.25,Pass2018
61,Ross 46,83.48974999999999,13.868027777777778,M3.5V,3424,4.98,0.0,Pass2018
62,Wolf 1457,83.80770833333332,-7.656750000000001,M4.0V,3365,5.01,0.01,Pass2018
63,V2689 Ori,83.90633333333332,11.318277777777778,M0.0V,4075,4.65,0.04,Pass2018
64,2M J05363846+1117487,83.93754166666665,11.28738888888889,M4.0V,3333,5.07,-0.14,Pass2018
65,HD 233153,85.05316666666667,53.48013888888889,M1.0V,3863,4.69,0.08,Pass2018
66,V1352 Ori,85.32229166666666,12.475944444444444,M4.0V,3310,5.05,0.04,Pass2018
67,Ross 59,88.06416666666665,24.2535,M1.5V,3755,4.71,0.11,Pass2018
68,G 192-013,89.93833333333332,59.59338888888889,M3.5V,3358,5.02,0.0,Pass2018
69,GJ 226,91.73399999999998,82.10427777777777,M2.0V,3543,4.89,-0.05,Pass2018
70,HD 42581A,92.47425,-21.863861111111113,M0.5V,3822,4.71,0.06,Pass2018
71,Ross 64,95.9315,23.439944444444446,M4.0V,3238,5.11,-0.08,Pass2018
72,Ross 603,96.71295833333332,9.408277777777778,M2.0V,3534,4.92,-0.12,Pass2018
73,LP 057-192,97.74349999999998,64.11574999999999,M4.0V,3469,4.94,-0.01,Pass2018
74,HD 260655,99.05887499999997,17.580388888888887,M0.0V,3728,4.89,-0.42,Pass2018
75,LP 780-032,99.73383333333331,-21.01025,M4.0V,3322,5.06,-0.04,Pass2018
76,G 108-021,100.33624999999999,3.59625,M3.5V,3436,4.96,0.02,Pass2018
77,Wolf 294,103.43841666666665,33.28733333333333,M3.0V,3450,4.96,-0.02,Pass2018
78,LP 255-011,105.58174999999999,34.72227777777778,M4.0V,3276,5.1,-0.12,Pass2018
79,GJ 258,105.69216666666667,68.31344444444444,M3.0V,3469,4.94,-0.01,Pass2018
80,LP 840-016,106.85804166666665,-22.788194444444446,M2.0V,3664,4.79,-0.01,Pass2018
81,Luytens Star,111.64216666666665,5.241555555555555,M3.5V,3358,5.01,0.04,Pass2018
82,GJ 1097,111.99099999999999,-3.2680555555555557,M3.0V,3458,4.95,-0.02,Pass2018
83,BL Lyn,112.72220833333331,36.26336111111111,M3.5V,3319,5.06,-0.03,Pass2018
84,TYC 777-141-1,113.50779166666665,14.800333333333334,M3.0V,3435,5.0,-0.09,Pass2018
85,GJ 3452,113.51924999999999,54.88558333333333,M2.0V,3526,4.93,-0.14,Pass2018
86,BD-02 2198,113.82920833333331,-3.075861111111111,M1.0V,3891,4.69,0.05,Pass2018
87,LP 763-001,114.49904166666666,-21.1895,M3.0V,3417,5.0,-0.09,Pass2018
88,BD+02 1729,114.63716666666666,2.219805555555556,M0.0V,4005,4.66,0.07,Pass2018
89,LSPM J0754+0832,118.42433333333331,8.583,M2.5V,3483,4.96,-0.13,Pass2018
90,GJ 1105,119.28099999999999,41.34427777777778,M3.5V,3363,5.02,0.0,Pass2018
91,GJ 300,122.994875,-21.506222222222224,M4.0V,3326,5.03,0.04,Pass2018
92,GJ 2066,123.82479166666664,1.3525555555555557,M2.0V,3589,4.86,-0.06,Pass2018
93,2M J08292191+0355092,127.13095833333331,3.9728055555555555,M2.5V,3575,4.88,-0.07,Pass2018
94,LP 665-021,127.64037499999998,-5.979527777777778,M1.5V,3802,4.68,0.16,Pass2018
95,LP 605-037,128.40516666666664,-1.0907222222222221,M3.5V,3371,5.02,-0.03,Pass2018
96,G 234-037,128.5665833333333,68.12249999999999,M2.5V,3471,4.95,-0.06,Pass2018
97,NLTT 19893,129.05899999999997,15.181999999999999,M2.5V,3489,4.92,0.0,Pass2018
98,LSPM J0840+3127,129.82075,31.50963888888889,M3.5V,3381,5.02,-0.04,Pass2018
99,BD+10 1857AB,130.47020833333332,9.611694444444444,M0.0V,4024,4.64,0.14,Pass2018
100,BD+10 1857C,130.50220833333333,9.608138888888888,M2.5V,3505,4.91,-0.01,Pass2018
101,rho Cnc B,132.92749999999998,28.376083333333334,M4.5V,3307,5.03,0.13,Pass2018
102,BD+02 2098,133.57516666666666,1.603138888888889,M0.0V,4091,4.61,0.25,Pass2018
103,Ross 687,134.99770833333332,5.3036666666666665,M3.5V,3457,4.94,0.02,Pass2018
104,Ross 686,134.99016666666662,5.3069444444444445,M3.0V,3424,4.97,0.05,Pass2018
105,NLTT 20817,135.37141666666665,8.531,M2.5V,3507,4.9,0.0,Pass2018
106,LP 060-179,135.36245833333334,68.12805555555555,M4.0V,3343,5.03,0.01,Pass2018
107,G 234-057,137.98812499999997,68.94038888888889,M2.5V,3545,4.93,-0.16,Pass2018
108,HD 79210,138.30129166666666,52.75077777777778,M0.0V,4053,4.65,0.07,Pass2018
109,HD 79211,138.30912499999997,52.75058333333333,M0.0V,3994,4.68,-0.03,Pass2018
110,LP 787-052,138.8992083333333,-18.55788888888889,M1.5V,3584,4.9,-0.14,Pass2018
111,Ross 439,142.02349999999998,-7.303805555555555,M2.5V,3496,4.91,0.0,Pass2018
112,GJ 1125,142.47774999999996,0.3907777777777778,M3.5V,3413,4.99,-0.01,Pass2018
113,GJ 357,143.82316666666668,-21.592916666666664,M2.5V,3488,4.96,-0.14,Pass2018
114,Ross 85,145.0728333333333,13.28202777777778,M1.5V,3601,4.88,-0.14,Pass2018
115,GJ 363,145.311125,56.05475,M3.5V,3384,4.99,0.07,Pass2018
116,GJ 360,145.29216666666665,70.10613888888888,M2.0V,3511,4.91,-0.03,Pass2018
117,GJ 362,145.36270833333333,70.11169444444444,M3.0V,3423,4.99,-0.04,Pass2018
118,BD+76 3952,146.30024999999998,76.11372222222222,M1.5V,3683,4.78,0.0,Pass2018
119,BD-11 2741,147.601,-12.261444444444445,M0.5V,3753,4.77,-0.09,Pass2018
120,BD+63 869,148.73841666666667,62.862027777777776,M0.0V,3974,4.67,0.07,Pass2018
121,BD+48 1829,150.33254166666666,48.15977777777778,M1.0V,3768,4.73,0.03,Pass2018
