,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
283,HD065228,119.21475,-22.880111111111113,F7/F8II,6115,1.7,0.52,MILES1
284,HD065583,120.13387499999997,29.21236111111111,G8V,5268,4.44,-0.56,MILES1
285,HD065714,120.23279166666666,25.392833333333332,G8III,4840,1.5,0.27,MILES1
286,HD065953,120.30554166666666,-1.392611111111111,K4III,3960,1.68,-0.36,MILES1
287,HD065900,120.307875,4.879833333333334,A1V,9692,4.0,0.24,MILES1
288,HD066141,120.56641666666665,2.3345555555555557,K2III,4258,1.9,-0.3,MILES1
289,HD066573,121.1243333333333,9.267916666666668,G0,5733,4.38,-0.56,MILES1
290,HD067523,121.88604166666666,-24.304333333333336,F2mp?,7010,3.15,0.34,MILES1
291,HD067228,121.94104166666666,21.581805555555555,G1IV,5745,4.08,0.1,MILES1
292,BD+800245,122.776,79.90822222222222,G0,5354,3.0,-2.15,MILES1
293,HD068284,122.956625,4.274527777777778,F8,5860,3.98,-0.57,MILES1
294,HD069267,124.12883333333333,9.185555555555556,K4III,4039,1.51,-0.12,MILES1
295,HD069611,124.37229166666664,-3.989611111111111,F8,5793,4.32,-0.56,MILES1
296,HD069830,124.59979166666665,-12.632166666666667,K0V,5484,4.64,-0.13,MILES1
297,HD233511,124.84404166666666,54.086000000000006,sdF6,5900,4.2,-1.7,MILES1
298,HD069897,125.01608333333331,27.217694444444444,F6V,6306,4.27,-0.25,MILES1
299,HD070272,125.70879166666667,43.188138888888886,K5III,3895,1.27,0.04,MILES1
300,HD071030,126.4578333333333,17.046277777777778,F6V,6516,4.03,-0.25,MILES1
301,HD072184,128.2290833333333,38.01636111111111,K2III,4624,2.61,0.12,MILES1
302,HD072324,128.25041666666667,24.084777777777777,G9III,4887,2.13,0.16,MILES1
303,HD072660,128.50674999999998,-2.1515555555555554,A1V,9692,4.0,0.34,MILES1
304,HD073471,129.6893333333333,3.3414444444444444,K2III,4489,2.01,0.11,MILES1
305,HD072905,129.79874999999998,65.02091666666666,G1.5Vb,5864,4.48,-0.04,MILES1
306,HD073898,129.92695833333332,-29.561083333333332,G4III,5030,2.8,-0.43,MILES1
307,HD073665,130.02675,20.00777777777778,K0III,4965,2.35,0.16,MILES1
308,HD073394,130.09391666666664,51.751805555555556,G5IIIw,4500,1.1,-1.38,MILES1
309,HD074000,130.21166666666664,-16.345138888888886,F6VI,6166,4.19,-2.02,MILES1
310,HD073593,130.25445833333333,45.834,G8IV,4717,2.25,-0.12,MILES1
311,HD074011,130.62841666666665,34.18769444444444,F8,5727,4.29,-0.62,MILES1
312,HD074395,130.91820833333333,-7.233722222222222,G2Iab,5250,1.3,-0.05,MILES1
