,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
260,LSPM J2146+3813,326.59197,38.21805,dM4.0,3307,5.06,-0.03,Schw2019,51.0,0.07,0.16
261,GJ 1263A,326.66843,-0.17327,dM4.0,3352,5.03,0.02,Schw2019,51.0,0.07,0.16
262,G 264-012,326.66767,66.80296,dM4.0,3360,5.01,0.07,Schw2019,51.0,0.07,0.16
263,GJ 4247,330.30468,28.30692,dM4.0,3267,5.12,-0.19,Schw2019,51.0,0.07,0.16
264,Gl 843,330.50318,-19.48309,dM3.5,3422,4.99,-0.04,Schw2019,51.0,0.07,0.16
265,Gl 846,330.54281,1.40023,dM0.5,3915,4.69,0.03,Schw2019,51.0,0.07,0.16
266,GJ 4258,331.43902,65.64875,dM1.5,3653,4.86,-0.17,Schw2019,51.0,0.07,0.16
267,Gl 849,332.4181,-4.64074,dM3.5,3467,4.94,-0.02,Schw2019,51.0,0.07,0.16
268,1RXS J221124.3+410000,332.85069,40.99964,dM5.5,3125,5.15,-0.01,Schw2019,51.0,0.07,0.16
269,Gl 851,332.87539,18.42619,dM2.0,3550,4.93,-0.13,Schw2019,51.0,0.07,0.16
270,GJ 9773,333.14977,8.55322,dM3.0,3501,4.92,-0.04,Schw2019,51.0,0.07,0.16
271,GJ 1265,333.42859,-17.68574,dM4.5,3236,5.09,0.01,Schw2019,51.0,0.07,0.16
272,GJ 4274,335.77915,-17.60731,dM4.5,3202,5.13,-0.07,Schw2019,51.0,0.07,0.16
273,GJ 4276,336.32111,59.41384,dM4.0,3387,4.97,0.12,Schw2019,51.0,0.07,0.16
274,GJ 1270,337.45411,41.48016,dM4.0,3317,5.03,0.1,Schw2019,51.0,0.07,0.16
275,Gl 863,338.25928,9.37798,dM1.0,3669,4.86,-0.2,Schw2019,51.0,0.07,0.16
276,Gl 873,341.70721,44.33399,dM3.5,3291,5.11,-0.19,Schw2019,51.0,0.07,0.16
277,Gl 875,342.58093,-7.09011,dM0.5,3904,4.72,-0.1,Schw2019,51.0,0.07,0.16
278,Gl 875.1,342.97306,31.75422,dM3.0,3404,5.02,-0.12,Schw2019,51.0,0.07,0.16
279,Gl 876,343.31972,-14.2637,dM4.0,3377,4.99,0.07,Schw2019,51.0,0.07,0.16
280,GJ 4306,343.99936,17.81106,dM1.0,3834,4.7,0.06,Schw2019,51.0,0.07,0.16
281,Gl 880,344.14502,16.55343,dM1.5,3805,4.69,0.12,Schw2019,51.0,0.07,0.16
282,GJ 4333,350.40603,17.29039,dM4.0,3364,5.0,0.1,Schw2019,51.0,0.07,0.16
283,Gl 895,351.12714,57.85431,dM1.0,3842,4.68,0.14,Schw2019,51.0,0.07,0.16
284,Gl 899,353.51389,0.17941,dM2.5,3559,4.86,0.0,Schw2019,51.0,0.07,0.16
285,GJ 1286,353.79359,-2.38906,dM5.5,3052,5.19,-0.09,Schw2019,51.0,0.07,0.16
286,GJ 4352,354.53399,-16.23617,dM2.0,3551,4.91,-0.13,Schw2019,51.0,0.07,0.16
287,Gl 905,355.47932,44.17745,dM5.0,3142,5.13,0.02,Schw2019,51.0,0.07,0.16
288,GJ 1289,355.7763,36.53698,dM4.0,3256,5.09,-0.04,Schw2019,51.0,0.07,0.16
289,Gl 908,357.30219,2.40122,dM1.0,3653,4.84,-0.13,Schw2019,51.0,0.07,0.16
290,GJ 4367,357.63184,-9.55907,dM4.0,3347,5.02,0.05,Schw2019,51.0,0.07,0.16
291,Gl 912,358.91576,-6.1426,dM2.5,3694,4.71,0.18,Schw2019,51.0,0.07,0.16
292,GJ 4383,359.63607,7.65837,dM3.0,3471,4.94,-0.03,Schw2019,51.0,0.07,0.16
