,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
277,HD058500,111.51914,5.5801,K0,,,,TGMET*
278,HD058595,112.04413,40.65659,G5,5621,4.3,-0.31,TGMET
279,HD058781,111.96159,19.04479,G5,5580,4.45,0.1,TGMET
280,HD059227,112.32844,6.58211,G5,,,,TGMET*
281,HD059686,112.95165,17.08605,K2III,4726,2.78,0.15,TGMET
282,HD059747,113.25241,37.02984,G5,5132,4.57,-0.14,TGMET
283,HD060294,114.19598,55.75506,K2III,4569,2.15,-0.08,TGMET
284,HD060318,113.78667,30.96092,K0III,4962,2.8,0.08,TGMET
285,HD060341,113.33152,-19.41252,K0III,4634,2.15,-0.02,TGMET
286,HD060408,113.79729,23.04588,G5,5463,,,TGMET*
287,HD060986,114.63693,35.04855,K0III,5057,2.6,-0.01,TGMET
288,HD061363,115.30166,48.13153,K0III,4785,2.1,-0.21,TGMET
289,HD061606,114.9972,-3.59751,K2V,4957,4.58,0.0,TGMET
290,HD061935,115.3118,-9.55113,K0III,4794,2.62,-0.04,TGMET
291,HD062141,115.84242,22.39947,K0III,4971,2.8,-0.14,TGMET
292,HD062345,116.11189,24.398,G8III,4996,2.72,-0.04,TGMET
293,HD062509,116.32896,28.0262,K0IIIvar,4826,2.79,0.05,TGMET
294,HD062613,119.07178,80.26554,G8V,5549,4.4,-0.1,TGMET
295,HD063791,118.61968,62.13632,G0,4700,1.72,-1.7,TGMET
296,HD063798,117.71291,4.45951,G5,5004,2.5,-0.1,TGMET
297,HD064152,117.92927,-21.17366,K0III,4977,2.7,-0.01,TGMET
298,HD064606,118.64241,-1.41225,G8V,5182,4.32,-0.89,TGMET
299,HD064649,118.79594,9.34997,G5,,,,TGMET*
300,HD064967,118.99415,-12.60819,G8IV,4774,2.55,-0.65,TGMET
301,HD065066,119.31617,8.64122,K0III,4868,2.6,0.02,TGMET
302,HD065345,119.58605,2.22477,K0III,4963,2.7,0.0,TGMET
303,HD065430,119.89139,20.84389,K0V,5136,4.55,-0.12,TGMET
304,HD065583,120.13387,29.21235,G8V,5310,4.71,-0.7,TGMET
305,HD066090,120.53125,2.96062,K2,,,,TGMET*
306,HD066444,121.02483,13.68752,K0,,,,TGMET*
307,HD067539,122.82533,54.54024,G5,4781,2.45,-0.61,TGMET
308,HD067767,122.61325,25.50733,G8IV,5265,3.62,-0.04,TGMET
309,HD068017,122.91101,32.45713,G4V,5558,4.48,-0.44,TGMET
310,HD068168,122.95495,16.52386,G0,5724,4.4,0.12,TGMET
311,HD068312,122.88752,-7.77254,G8III,5090,2.7,-0.09,TGMET
312,HD068375,124.88454,75.75691,G8III,5071,2.9,0.0,TGMET
313,HD068638,124.02633,57.09414,G8V,5430,4.4,-0.24,TGMET
314,HD069611,124.37228,-3.98962,F8,5772,4.21,-0.58,TGMET
315,HD070458,125.54798,2.15141,K5,,,,TGMET*
316,HD070523,125.47753,-17.58633,K0III,4642,2.2,-0.25,TGMET
317,HD071088,127.44248,67.29744,G8III,4900,2.7,-0.03,TGMET
318,HD071377,126.6748,-12.5346,K1/K2III,4465,,,TGMET*
319,HD071497,126.98399,4.82144,G5,4816,,,TGMET*
320,HD072722,128.63837,5.50394,K5,3700,,,TGMET*
321,HD072760,128.63187,-0.72608,G5,5356,4.38,0.03,TGMET
322,HD072946,128.96361,6.62278,G5V,5704,4.6,0.18,TGMET
323,HD073017,129.59243,53.40154,G8IV,4693,2.3,-0.66,TGMET
324,HD073108,130.05341,64.32794,K2III,4428,2.03,-0.23,TGMET
325,HD073350,129.45956,-6.80688,G0,5776,4.48,0.11,TGMET
326,HD073393,130.17572,55.66773,G3V,,,,TGMET*
327,HD073667,129.96163,11.52267,K1V,5195,4.65,-0.48,TGMET
328,HD074011,130.62841,34.18769,F8,5702,4.19,-0.59,TGMET
329,HD074794,131.51032,-2.04865,K0III:,4701,2.25,-0.02,TGMET
330,HD075302,132.30221,3.48476,G0,5696,4.49,0.1,TGMET
331,HD075318,132.33836,3.684,G5,5450,,,TGMET*
332,HD075506,132.9868,43.7266,K0III,4876,2.5,-0.3,TGMET
333,HD075732,133.14921,28.33082,G8V,5293,4.41,0.38,TGMET
334,HD075767,133.06829,8.06292,G0,,,,TGMET*
335,HD075958,134.15601,64.60383,G6III,5030,2.7,-0.09,TGMET
336,HD076151,133.57478,-5.43446,G3V,5768,4.45,0.06,TGMET
337,HD076291,134.20814,45.63165,K1IV,4495,2.0,-0.28,TGMET
338,HD076294,133.84844,5.94557,G8III-IV,4831,2.49,-0.01,TGMET
339,HD076752,134.70778,25.40496,G2V,5660,4.29,0.03,TGMET
340,HD076813,134.88606,32.41856,G9III,5172,3.08,-0.24,TGMET
